identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore,Coremeasure
3.3.4.1,Connaître l’état de la biodiversité et connaître les enjeux liés aux espaces verts sur son territoire (obligations réglementaires),,,,,,10,bases,,,,,,,,,,,,
3.3.4.1.1,Identifier les réservoirs et corridors écologiques et assurer la mise en œuvre de la trame verte et bleue,En relation avec le Schéma Régional de cohérence écologique (obligation réglementaire SCoT et PLUi).,,,,,,,,,,,,,,,,,,
3.3.4.1.2,Etudier les impacts du plan d’action du plan climat / des actions menées dans le cadre de la politique climat air énergie sur la biodiversité,Obligation de l’évaluation environnementale stratégique des PCAET.,,,,,,,,,,,,,,,,,,
3.3.4.2,Sensibiliser à l’importance et à la fragilité de la biodiversité et aux enjeux liés aux espaces verts,,,,,,10,bases,,,,,,,,,,,,
3.3.4.2.1,Mettre en place des actions de sensibilisation aux différents publics à la biodiversité,,,,,,,,,,,,,,,,,,,
3.3.4.2.2,Mettre en valeur les informations et actions locales relatives à la biodiversité dans ses supports de communication,"par exemple : journal communal ou intercommunal, site web...",,,,,,,,,,,,,,,,,,
3.3.4.2.3,Participer à la réalisation des pratiques de gestion des espaces verts.,"par exemple : initiative, financement, soutien, participation à des réunions, avis...",,,,,,,,,,,,,,,,,,
3.3.4.2.4,Organiser de sessions de sensibilisation / formation en interne sur la gestion différenciée des espaces verts et les pratiques alternatives aux produits phytosanitaires,,,,,,,,,,,,,,,,,,,
3.3.4.3,Réduire les impacts de l’éclairage sur la biodiversité nocturne,Les travaux sur l’éclairage public sont évalués dans la mesure 2.3.1.,,,,,10,mise en œuvre,,,,,,,,,,,,
3.3.4.3.1,"Etre en relation avec les associations environnementales locales, syndicat d’énergie ou autres partenaires pour faire le lien entre la politique d’éclairage public et le respect de la biodiversité",,,,,,,,,,,,,,,,,,,
3.3.4.3.2,Réaliser une trame sombre (ou trame noire),,,,,,,,,,,,,,,,,,,
3.3.4.3.3,Organiser un événement contre la pollution lumineuse,Par exemple : « Jour de la nuit »,,,,,,,,,,,,,,,,,,
3.3.4.3.4,Obtenir le label « Villes et villages étoilés » de l’ANPCEN,,,,,,,,,,,,,,,,,,,
3.3.4.3.5,Suivre la réglementation relative à l’éclairage des enseignes,,,,,,,,,,,,,,,,,,,
3.3.4.4,Mettre en place une gestion différenciée des espaces verts et des pratiques alternatives aux produits phytosanitaires sur le territoire,,,,,,15,mise en œuvre,,,,,,,,,,,,
3.3.4.4.1,Pratiquer la gestion différenciée des espaces verts et systématiser les pratiques alternatives aux produits phytosanitaires,"Cela limite au global les consommations d'énergie liées à l'entretien, les quantités d'engrais (notamment chimiques) et d'eau dans l'objectif ""zéro phyto"" obligatoire depuis 2017.",,,,,,,,,,,,,,,,,,
3.3.4.4.2,Sensibiliser les habitants à la gestion différenciée et aux pratiques alternatives aux produits phytosanitaires,,,,,,,,,,,,,,,,,,,
3.3.4.4.3,"Utiliser des espèces rustiques et adaptées au contexte local, y compris dans la perspective du changement climatique.",La collectivité limite les espèces allergènes.,,,,,,,,,,,,,,,,,,
3.3.4.5,Prendre en compte la biodiversité dans une approche transversale,,,,,,10,mise en œuvre,,,,,,,,,,,,
3.3.4.5.1,"Travailler ensemble pour mener la politique de préservation de la biodiversité (réunion commune, relecture itérative des documents…)","Les services et les élus en lien avec l’urbanisme, la voirie, les milieux naturels et la transition énergétique doivent être impliqués.",,,,,,,,,,,,,,,,,,
3.3.4.5.2,Intègrer les enjeux et les objectifs de la démarche climat-air-énergie dans l’élaboration de la trame verte et bleue (et vice-versa),"par exemple : travaux de restauration et entretien des haies bocagères augmentant la ressource bois, croisement des potentiels énergétiques et des cartes d’enjeux environnementaux, séquestration carbone…",,,,,,,,,,,,,,,,,,
3.3.4.5.3,Définir des critères environnementaux pour orienter les porteurs de projet,"Cela permet de limiter l’impact sur la biodiversité des constructions et des ENR (fiche d’application de la trame verte bleue, zoom par secteur, etc.)",,,,,,,,,,,,,,,,,,
3.3.4.5.4,Concilier trame verte et bleue avec densification des espaces urbains,"par exemple : trame verte et bleue urbaine multifonctionnelle, en créant, préservant et/ou restaurant des milieux naturels - notamment berges et cours d'eau- et des corridors écologiques entre ces milieux.",,,,,,,,,,,,,,,,,,
3.3.4.5.5,"Décider d’un seuil maximal d’imperméabilisation des sols pour tout projet d’aménagement de construction, de rénovation ou d’agrandissement sur le territoire",,,,,,,,,,,,,,,,,,,
3.3.4.5.6,Utiliser le coefficient de biotope par surface dans le PLU,,,,,,,,,,,,,,,,,,,
3.3.4.5.7,Intégrer la vulnérabilité des espèces au changement climatique à la stratégie d’adaptation du territoire,,,,,,,,,,,,,,,,,,,
3.3.4.6,Mettre en place des actions de préservation de la biodiversité contribuant à l’adaptation au changement climatique et à l’amélioration du cadre de vie,"Les actions ci-dessous favorisent la biodiversité et permettent, dans une approche intégrée, de diminuer le risque inondation, de lutter contre le phénomène d’îlot de chaleur urbain et de développer la “Nature en Ville”.",,,,,15,mise en œuvre,,,,,,,,,,,,
3.3.4.6.1,Restaurer des zones humides,,,,,,,,,,,,,,,,,,,
3.3.4.6.2,"Végétaliser des bâtiments (toitures, façades…) en prenant en compte la biodiversité",,,,,,,,,,,,,,,,,,,
3.3.4.6.3,"Déminéraliser des espaces urbains non bâtis (cours d’école, d’immeubles, voiries)",,,,,,,,,,,,,,,,,,,
3.3.4.6.4,Mettre en place des actions de valorisation écologique des espaces publics,"par exemple : parcs, dents creuses, friches industrielles, coulées vertes, rives des plans et cours d’eau…",,,,,,,,,,,,,,,,,,
3.3.4.7,Utiliser des outils de contractualisation opérationnels pour la mise en œuvre de la trame verte et bleue,"La collectivité met en place/promeut des outils de contractualisation et de maîtrise foncière transversaux dans lesquels la ""préservation de la biodiversité, la protection des milieux et des ressources"" constitue un pilier majeur.",,,,,15,mise en œuvre,,,,,,,,,,,,
3.3.4.7.1,Mettre en place un outil de contractualisation à l’échelle parcellaire,"par exemple : Bail rural à clauses environnementales, contrat Natura 2000, convention de gestion, cahier des charges de lotissement, mesure agro environnementale territorialisée...",,,,,,,,,,,,,,,,,,
3.3.4.7.2,Mettre en place ou promouvoir des outils contractuels à une échelle plus large,"Documents de planification, PLU, SCOT, Charte PNR, Charte forestière etc., qui peuvent planifier et orienter la contractualisation à l'échelle parcellaire",,,,,,,,,,,,,,,,,,
3.3.4.8,Suivre l’évolution de la biodiversité et la gestion des espaces verts,,,,,,15,effets,,,,,,,,,,,,
3.3.4.8.1,Faire contribuer les services de la collectivité en lien avec les espaces verts ou l’entretien du réseau routier au comptage de la biodiversité et au suivi de son évolution,,,,,,,,,,,,,,,,,,,
3.3.4.8.2,"Suivre l’évolution de la biodiversité à travers un observatoire ou un atlas dynamique de la biodiversité locale, en partenariat avec une association ou un autre organisme du territoire",,,,,,,,,,,,,,,,,,,
3.3.4.8.3,Suivre les quantités annuelles d'engrais et d'eau pour les espaces verts et les faire diminuer,,,,,,,,,,,,,,,,,,,
3.3.5,Valoriser les déchets résiduels et les biodéchets,"La collectivité valorise les déchets résiduels (comprenant les ordures ménagères résiduelles, les refus des centres de tri, le tout-venant, les déchets non recyclables incinérables) et les bio-déchets du territoire :

-   Le potentiel énergétique généré par l’incinération des déchets produits sur le territoire de la collectivité ou par la combustion de déchets préparés sous forme de CSR (Combustibles Solides de Récupération) dans des unités dédiées est utilisé, au regard de la stratégie de prévention et gestion des déchets et ressources définie dans la mesure 1.2.3.
    
-   Le potentiel énergétique issu des gaz des décharges est utilisé.
    
-   Le potentiel de valorisation des biodéchets (paille, lisier, déchets de bois, restes de récoltes, déchets organiques des ménages et des activités économiques) est utilisé via le compostage, la production de bio-diesel/bio-méthane pour le chauffage (combustible) ou pour le transport (agro-carburant), des installations spécifiques de combustion de biodéchets.","**Contexte et enjeux**

Pour rappel la hiérarchie européenne des déchets impose de mettre en œuvre d’abord la prévention, puis le réemploi puis le recyclage/compostage avant d’opter pour la valorisation énergétique traitée en particulier dans cette action du référentiel.

Il est possible de récupérer l’énergie des déchets par méthanisation dans le cas des biodéchets et par combustion en incinérateur ou dans des unités de combustion pour des déchets préparés sous forme de CSR (Combustibles Solides de Récupération) pour les déchets mélangés. Les CSR sont des combustibles préparés à partir de déchets non dangereux issus de refus de tri de DAE, d'encombrants, de collecte sélective des emballages, d'OMR ou de déchets spécifiques de production.

Du biogaz s’échappe également pendant plusieurs dizaines d’années après la fermeture des décharges (16 % du méthane émis en France provient des décharges) et sa captation est obligatoire. Il est essentiel de favoriser l’option offrant le meilleur taux de captage afin de limiter les émissions de biogaz vers l’atmosphère et d’étudier les potentiels de valorisation.

Cette action vise notamment à augmenter l’efficacité énergétique des procédés de récupération d’énergie issue des déchets.

La production de méthane au niveau des décharges pourrait être évité si les biodéchets étaient triés à la source puis méthanisés et ou compostés. Leur incinération est une aberration énergétique puisqu’ils sont composés de 60 à 90 % d’eau. Les biodéchets peuvent faire l’objet de politiques de prévention car il est possible de les gérer à domicile, où leur collecte sélective constitue alors une bonne solution (collecte des biodéchets obligatoire pour les gros producteurs.). Il existe diverses solutions de gestion de proximité permettant de limiter les transports par la route et donc les émissions de CO2 liées.

Enfin, les biodéchets constituent la matière première du compost, amendement qui améliore la qualité biologique des sols. L’usage d’un compost de qualité, facilité par le tri à la source de ces biodéchets, est un moyen de limiter le recours aux intrants chimiques et d’enrichir les sols en matière organique pour une agriculture durable.

A noter que la collecte en porte à porte, le compostage à domicile, le compostage en plateforme et la valorisation énergétique des biodéchets sont complémentaires et peuvent être mis en place sur un même territoire, selon les cibles et les contraintes géographiques et organisationnelles (maîtrise de la compétence par les collectivités).

**Réglementation**

**UIOM et centre d’enfouissement technique :**

-   La loi n° 2015-992 du 17 août 2015, relative à la transition énergétique pour la croissance verte, fixe l’objectif de réduire de 50% la mise décharge des déchets non dangereux non inertes à l’horizon 2025 par rapport à 2010.
    
-   La TGAP est modulée en fonction de la performance énergétique des UIOM et de la valorisation du biogaz des Centres de Stockage des Déchets Ultimes (CSDU) (loi des finances et instruction douanière 2011).
    
-   Grenelle II -art194 : limitation des capacités de traitement des UIOM et des capacités stockage des centres d’enfouissement.
    

**Unités CSR (combustibles solides de récupération) :**

-   Décret n° 2016-630 du 19 mai 2016 : définition des CSR
    
-   Arrêté ministériel du 23 mai 2016 : la valorisation énergétique des CSR doit :
    

-   Être pratiquée dans des installations ayant comme finalité la production de chaleur, ou d’électricité en Outre-Mer et en installations < 20 MW en métropole.
    
-   Répondre à une demande locale en énergie et se substituer à un usage d’énergie fossile.
    
-   Être dimensionnée en fonction de cette demande et non en fonction d’un gisement de déchets.
    

**Biodéchets :**

Grenelle II -art 92 précise le cadre et les possibilités d'injection du biogaz dans le réseau ; -art.204 : les gros producteurs de biodéchets doivent mettre en place un tri et une collecte sélective de ces déchets.

-   Si vous produisez ou détenez plus de 10 tonnes de biodéchets et/ou 60 litres d’huiles alimentaires usagées par an, vous devez trier et valoriser ces déchets (arrêté du 12 juillet 2011).

La loi relative aux biodéchets s’est d’abord imposée aux très gros producteurs de biodéchets (plus de 120 tonnes annuelles) atteignant le seuil de 10 tonnes par an en 2016.

-   arrêtés fixant les tarifs d'achats du biogaz et de l'électricité produite à partir de biogaz","**Saint-Pierre-lès-Elbeuf**

Valorisation des biodéchets : ça gaze à la cantine !

La lutte contre le gaspillage alimentaire et la valorisation des biodéchets font également partie des priorités de la ville. Depuis 2018, elle s’est distinguée par l’installation de tables de tri et de gâchimètres à pain dans toutes les cantines scolaires de cycle élémentaire, la création d’une mascotte, la collecte des biodéchets par l’entreprise Terraléo et l’organisation d’animations auprès de enfants. Les biodéchets collectés sont acheminés vers une unité de méthanisation située en Normandie (76) et transformés en biogaz, lui-même injecté dans le réseau de gaz naturel.

(Dossier candidature 2021)

https://www.mairie-elbeuf.fr/la-valorisation-des-biodechets/

[](https://www.mairie-elbeuf.fr/la-valorisation-des-biodechets/ )

[https://www.mairie-elbeuf.fr/la-valorisation-des-biodechets/](https://www.mairie-elbeuf.fr/la-valorisation-des-biodechets/ )

**20 fiches exemples d’optimisation d’UIOM**

[http://www.ademe.fr/etude-techniques-doptimisation-unites-dincineration-dechets-menagers-assimiles](http://www.ademe.fr/etude-techniques-doptimisation-unites-dincineration-dechets-menagers-assimiles)

Il s'agit des documents intitulés :

● fiches-valo-energetique-optimisation-unites-incineration-dma.zip

● fiches-opti-generale-unites-incineration-dma.zip

**Dreux Agglomération**

Stratégie de compostage décentralisé : La collecte des bio-déchets se fait dans les 17 communes de l'Agglomération, avec mise à disposition par Dreux Agglomération de Biotainer et de Bioseau. L'objectif est de collecter les déchets verts et la partie fermentescible des ordures ménagères.

Dreux Agglomération met à disposition des habitants des composteurs individuels à tarifs préférentiels. Dreux Agglomération prend en charge 50 % du coût d'achat.

C'est à la plateforme de compostage située au Thieulin (28) que les déchets verts et le contenu des poubelles bio-déchets sont amenés après la collecte. Grâce à la qualité du tri, le compost bénéficie d'un label de qualité permettant de le redistribuer gratuitement.

→ Source : dossier de candidature CAP Cit’ergie, 2014 + recueil BP Cit’ergie","Association Technique Energie Environnement pour promouvoir la production et la valorisation des biogaz issus des installations de stockage des déchets non dangereux et des unités de méthanisation :

[http://atee.fr/biogaz](http://atee.fr/biogaz )

Réseau Compost plus : collectivités qui font la promotion de la collecte sélective des biodéchets -

[https://www.compostplus.org](https://www.compostplus.org)

AMORCE avec l’ADEME, 2020 – « Quelle stratégie de déploiement du tri à la source des biodéchets ? » :

[https://librairie.ademe.fr/dechets-economie-circulaire/4751-quelle-strategie-de-deploiement-du-tri-a-la-source-des-biodechets-.html](https://librairie.ademe.fr/dechets-economie-circulaire/4751-quelle-strategie-de-deploiement-du-tri-a-la-source-des-biodechets-.html)

ADEME – Guide à la rédaction d’un cahier des charges – « Etude préalable à l'instauration d'une tarification incitative et du tri à la source des biodéchets », 2021 :

[https://librairie.ademe.fr/dechets-economie-circulaire/4659-etude-prealable-a-l-instauration-d-une-tarification-incitative-et-du-tri-a-la-source-des-biodechets.html](https://librairie.ademe.fr/dechets-economie-circulaire/4659-etude-prealable-a-l-instauration-d-une-tarification-incitative-et-du-tri-a-la-source-des-biodechets.html)",12,,,"<ul>
<li>
<p>EPCI : Réduction proportionnelle à la part dans un syndicat compétent en matière de traitement des déchets, dans la limite de 2 points restants.</p>
</li>
<li>
<p>Commune : réduction de potentiel à 2 points en l’absence de la compétence traitement des déchets (étudier principalement le volet biodéchets)</p>
</li>
</ul>
","IMPORTANT : pour favoriser la prévention des déchets, la note attribuée à cette mesure est plafonnée par rapport à la note obtenue dans la mesure 1.2.3.

Exemple : l’évaluation de la mesure 1.2.3 est à 40% de points effectifs, celle de la mesure 3.3.5 est à 60% => la notation de la mesure 3.3.5 doit être abaissée aussi à 40%. Indiquer dans le champ ""Description générale de l'état d'avancement"" de l'action la notation théorique et la note abaissée.

Cette action est axée sur le traitement et la valorisation énergétique des déchets résiduels ainsi que sur la valorisation des biodéchets. Le volet stratégique (planification), et notamment la politique de prévention et la limitation des émissions liées aux collectes et transports des déchets est traité dans la mesure 1.2.3.

La méthanisation des boues de stations d’épuration est traitée dans la mesure 3.3.2.

Ne pas évaluer ces éléments ici.

Liens avec d’autres mesures :

− 6.1.1 : Développer une stratégie partenariale à toutes les échelles : participation de la collectivité à une commission de suivi des sites pour veiller à la qualité environnementale de l'UIOM, notamment sur la qualité de l'air

− 2.1.3 : Etre exemplaire sur les bâtiments publics neufs et rénovés (production de chaleur et d’électricité renouvelable)

− 2.2.4 : Augmenter la part de consommation en énergie renouvelables pour la chaleur et le rafraîchissement des bâtiments publics

− 3.2.2 : Augmenter l’utilisation des énergies renouvelables pour la chaleur et le rafraîchissement

− 3.2.3 : Augmenter la production d’électricité issue d’énergies renouvelables sur le territoire

− 3.3.2 sur la gestion des boues de STEP

Labellisation unique ville-EPCI : la notation se base sur l'indicateur de la collectivité compétente.

Un incinérateur, une unité de combustion de CSR ou un centre d'enfouissement physiquement hors du territoire mais traitant les déchets de la collectivité doit être étudié.

La simple captation du biogaz et sa destruction en torchère n’est pas valorisable dans le référentiel.

Ne considérer dans l’évaluation que les sous-actions adaptées au(x) mode(s) de traitement en vigueur sur le territoire.

Nota sur l’évaluation de la base : Vérifier le suivi des préconisations des analyses sur le potentiel de méthanisation ou l’UIOM à l'occasion d'un renouvellement ou passage de 2 étoiles à 3 étoiles. Pas de revalorisation en l'absence totale d'effets sans justification valable.",,,"min(score(cae_1.2.3), score(cae_3.3.5))
","Pour favoriser la prévention des déchets, la note attribuée à cette action ne peut dépasser celle obtenue dans l'action 1.2.3.","si identite(type, commune) et reponse(dechets_2, NON) alors 2/12
sinon si identite(type, EPCI) et reponse(dechets_2, NON) alors max(reponse(dechets_4),2/12)
","Pour une commune, la note est réduite à 2 points en l'absence de la compétence traitement des déchets.

Pour un EPCI ayant transféré la compétence traitement des déchets à un syndicat compétent en la matière, la note est réduite proportionnelle à sa participation dans ce syndicat, dans la limite de 2 points restants.","dechets_2, dechets_4","cae_32, cae_33, cae_34",,x
3.3.5.1,Effectuer un état des lieux du potentiel d’optimisation de la valorisation énergétique des déchets,,,,,,30,bases,,,,,,,,,,,,
3.3.5.1.1,Evaluer finement la quantité de biogaz émis dans les centres d’enfouissement techniques,,,,,,,,,,,,,,,,,,,
3.3.5.1.2,Disposer d'une analyse sur l'augmentation de l'efficacité énergétique de l'UIOM,"L’analyse porte par exemple sur :

-   une optimisation des équipements de combustion, de récupération d’énergie ou la mise en place d'équipement de traitement des fumées plus performants,
    
-   la mise en place de systèmes de récupération de chaleur fatale basse température notamment au niveau des fumées ou des aérocondenseurs, permettant par valorisation interne une optimisation du process d’incinération (ex : pour réchauffage air de combustion du four) ou bien une valorisation externe sur réseau de chaleur
    
-   la mise en place de dispositifs permettant d’accepter une gamme plus large de déchets pour limiter les vides de four,
    
-   la mise en place d'équipements d’amélioration de l’efficacité énergétique (type ORC, raccordement à un réseau de chaleur...).
    

Si la collectivité a délégué sa compétence, elle incite et encourage la collectivité compétente à effectuer cette analyse.",,,,,,,,,,,,,,,,,,
3.3.5.1.3,"Etudier le potentiel de méthanisation sur les biodéchets, intégrant des synergies avec les gros producteurs de biodéchets et les agriculteurs pour une vision globale des gisements",,,,,,,,,,,,,,,,,,,
3.3.5.1.4,Etudier la faisabilité sur la mise en place de la collecte sélective des biodéchets des ménages,La collecte sélective des biodéchets des ménages est évaluée dans l'action 1.2.3,,,,,,,,,,,,,,,,,,
3.3.5.1.5,Etudier les possibilités d'injection du biométhane valorisé dans le réseau ou dans des véhicules,Un budget ou des moyens humains sont mobilisés.,,,,,,,,,,,,,,,,,,
3.3.5.1.6,Etudier les possibilités de production et de valorisation de bio-carburants à partir des biodéchets locaux,Un budget ou des moyens humains sont mobilisés.,,,,,,,,,,,,,,,,,,
3.3.5.2,Valoriser l’énergie issue de la gestion des déchets,,,,,,30,mise en œuvre,,,,,,,,,,,,
3.3.5.2.1,"Valoriser la chaleur de l'UIOM (utilisation complète, en interne et/ou vente à l'extérieur) et suivre le % réel de valorisation énergétique/déchets entrants",,,,,,,,,,,,,,,,,,,
3.3.5.2.2,Valoriser la chaleur résiduelle (cogénération) si l'UIOM produit de l'électricité,,,,,,,,,,,,,,,,,,,
3.3.5.2.3,Valoriser la chaleur ou l'électricité dans l'unité de combustion de CSR (pour les DOM),,,,,,,,,,,,,,,,,,,
3.3.5.2.4,Optimiser le captage du biogaz issu des centres d’enfouissement,"par exemple : diminution des émissions en phase d’exploitation avant mise en œuvre des dispositifs définitifs de captage (captage précoce, optimisation de la durée d’exploitation des alvéoles ou casiers) et limitation des fuites aux parois du réseau, notamment par l’optimisation des dimensionnements des réseaux",,,,,,,,,,,,,,,,,,
3.3.5.2.5,Valoriser le biogaz issu du centre d’enfouissement,,,,,,,,,,,,,,,,,,,
3.3.5.2.6,"Mettre en place une gestion intégrée des différents biodéchets du territoire, avec une part de valorisation énergétique (méthanisation, combustion ou agro-carburants)",,,,,,,,,,,,,,,,,,,
3.3.5.2.7,Promouvoir les bonnes pratiques de compostage auprès des particuliers,"Pour les collectivités pratiquant prioritairement le compostage, elles veillent : promouvoir les bonnes pratiques auprès des particuliers (formation de maîtres composteurs, distribution de fourche ou brasse-compost, aires de démonstration, rappel des paramètres clés : équilibre carbone/Azote, taux d'humidité et aération). Pour les plateformes de compostage centralisé, les meilleures pratiques sont réalisées et formalisées (courbes de suivi des températures et de l'humidité, aération...), l'impact des déplacements engendrés pour l'acheminement des déchets verts est pris en compte (choix de la localisation...) et le compost produit est valorisé localement et est conforme à la norme (analyses physico-chimiques). En milieu rural, du co-compostage à la ferme avec un ou plusieurs agriculteurs volontaires est réalisé.",,,,,,,,,,,,,,,,,,
3.3.5.2.8,Contrôler l'interdiction du brûlage à l'air libre des déchets verts et mener de nombreuses actions sur le sujet,"Des actions de sensibilisation sont menées.

Des solutions alternatives sont proposées aux particuliers (amélioration de la collecte des déchets verts, travail sur le compostage dans la restauration collective, filière courte de valorisation pour alimenter les chaufferies bois...).",,,,,,,,,,,,,,,,,,
3.3.5.2.9,Trouver des débouchés pour l'ensemble de l'énergie produite et pour le compost,"par exemple : vente à un fournisseur de gaz, raccordement à un réseau de chaleur, favoriser l’installation d’utilisateurs d’énergie à proximité des sites de traitements des déchets producteurs d’énergie ), etc - pour l'énergie - en lien avec le secteur agricole - pour le compost -.",,,,,,,,,,,,,,,,,,
3.3.5.3,Suivre les objectifs et atteindre un haut niveau de valorisation des déchets,,,,,,40,effets,,,,,,,,,,,,
3.3.5.3.1,Avoir un rendement de l'UIOM élevé,Le rendement doit être supérieur ou égal au seuil de performance énergétique permettant la modulation de la TGAP selon la règlementation.,,,,,,,,,,,,,,,,,"si val(cae_32) > cible(cae_32) alors 1
sinon 0",
3.3.5.3.2,Les centres de stockage des déchets ménagers et assimilés font l'objet d'une valorisation énergétique du biogaz >75%,"par exemple : production de chaleur, cogénération ou injection dans le réseau gaz. La valorisation est proportionnelle selon le pourcentage de biogaz valorisé, à partir de 75% et avec le maximum des points à 100%.",,,,,,,,,,,,,,,,,"si val(cae_34) < limite(cae_34) alors 0
sinon si val(cae_34) > cible(cae_34) alors 1
sinon (val(cae_34) - limite(cae_34)) / (cible(cae_34) - limite(cae_34))",
3.3.5.3.3,"Augmenter la production d’électricité et de chaleur en kWh produit à partir de biodéchets pour l'ensemble du territoire (ménages et activités économiques, agricoles...) ou à défaut la quantité en kg/hab.an de biodéchets ménagers et assimilés issus de collecte sélective valorisés",,,,,,,,,,,,,,,,,,,
3.3.5.3.4,Témoigner des performances par des indicateurs de suivi de la politique de compostage,"Par exemple : nombre de composteurs individuels distribués, nb de sites collectifs en pied d'immeuble, etc...",,,,,,,,,,,,,,,,,,
4,Mobilité,,,,,,,,,,,,,,,,,,,
4.1,Promotion et suivi de la mobilité durable sur le territoire et en interne,,,,,,,,,,,,,,,,,,,
