identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore
3.3.1,Communiquer et sensibiliser à la consommation responsable et à la sobriété,"Politiques territoriales de sobriété - étude TERSOB : https://librairie.ademe.fr/recherche?controller=search&orderby=position&orderway=desc&search\_query=tersob&submit\_search=

La collectivité communique (elle-même ou en partenariat avec la Région, les chambres consulaires, les associations environnementales ou de consommateurs, les offices du tourisme…) sur les activités de son territoire pour rendre visibles et accessibles les structures contribuant à une consommation responsable et/ou à la sobriété.

La collectivité sensibilise tous les acteurs aux enjeux environnementaux de la consommation sur son territoire et à la sobriété.",,"Promouvoir l'usage de l'Ecolabel européen et des labels environnementaux ""100 labels environnementaux recommandés par l’ADEME""

https://agirpourlatransition.ademe.fr/particuliers/labels-environnementaux.

Proposer des campagnes de communication sur l’encombrement par les objets (et aux déchets).

Mettre en avant les co-bénéfices de la réduction de sa consommation, en lien avec d’autres enjeux (santé, économies, lien social).

Sensibiliser aux 5R : Refuser, Réduire, Réutiliser, Recycler, Rendre à la terre (composter).

Valoriser les pratiques qui permettent de répondre gratuitement à son besoin.

Mettre en avant le « Green Friday » (en opposition au « Black Friday ») : affichage, information dans le bulletin de la collectivité…

Mettre en place des animations ""caddy malin, caddy vilain"" : Etude foyers temoin (2017) https://librairie.ademe.fr/consommer-autrement/1856-consommation-de-produits-alimentaires-plus-responsables-sans-surcout-c-est-possible-une.html

Sensibiliser les élèves aux impacts environnementaux des produits et donner des pistes pour une consommation plus responsable (du primaire au lycée) / Eduquer les enfants et adolescents à la « consommation juste ».

Mon atelier EcoFrugal : recruter les ambassadeurs (bénévoles) et animer une dynamique locale entre les ambassadeurs pour péréniser une dynamique d'information/sensibilisation.

Loisirs et Tourisme :

Promouvoir les activités de loisirs non consommatrices (festival de musique, appui aux moments conviviaux proposés par les associations).

Promouvoir l'Ecolabel européen auprès des hébergeurs touristiques.

Sensibiliser à la nature (apiculture…).

Sensibiliser des touristes aux pratiques vertueuses sur le territoire (via notamment la mobilisation des offices du tourisme).

Proposer des formations gratuites sur la sobriété ouverte aux organisateurs d’évènements.

Développer des événements sur la sobriété.

Lien social :

Planter des arbres fruitiers pour créer des échanges et instaurer du lien entre les habitants.

Favoriser et mettre en avant la location ou le prêt de matériel (bricolage, cuisine) entre particuliers, annuaires, associations proposant des services de location.

Mettre en avant et valoriser les « talents » sur un territoire (artisans, artistes) pour donner envie de faire réparer, de faire des échanges…

Organiser des visites pour les élus et techniciens de territoires démonstrateurs de la sobriété (échange de bonnes pratiques entre collectivités ou structures porteuses d’initiatives à succès).",,,25,bases,,,,,,,,,,,
3.3.1.1,Disposer de support(s) de communication recensant les solutions de consommation sobre et responsable sur le territoire,,,,,,20,,,,,,,,,,,,
3.3.1.2,Organiser des ateliers de sensibilisation à la consommation sobre et responsable,,,,,,30,,,,,,,,,,,,
3.3.1.3,Soutenir financièrement ou organiser des évènements mettant en avant la consommation responsable et la sobriété,,,,,,50,,,,,,,,,,,,
3.3.2,Promouvoir et lancer au sein de la collectivité une dynamique relative à la consommation responsable et à la sobriété,"La collectivité sensibilise et forme à la consommation responsable et la sobriété ses élus et ses techniciens.

La collectivité élabore un document formalisant une vision et des actions de la consommation responsable et sobre à mettre en place pour son territoire. Ce document décline notamment la sobriété sur les 7 piliers de l'économie circulaire.",,"Sensibiliser et former les élus et techniciens à la réflexion sur le besoin : avant l'achat (pertinence du besoin, prêt et location, économie de la fonctionnalité), lors de l'achat (neuf ou occasion, label environnementaux, offre locale), lors de l'usage (utilisation, entretien, maintenance et réparation appropriés) et lors de la fin de vie du produit (revente, don ou élimination appropriée).

A l'issue de la formation, mettre en place un document de formalisation (incluant des actions à décliner dans chaque service formé). Le document peut-être constitué au moment de conclure chaque formation.

Mettre en place un groupe de travail ou une équipe dédiée à la construction de la vision et du plan d'actions global sur la consommation responsable et de sobriété.",,,25,bases,,,,,,,,,,,
3.3.2.1,Sensibiliser les élus et les techniciens,,,,,,25,,,,,,,,,,,,
3.3.2.2,Former les élus et les techniciens,,,,,,25,,,,,,,,,,,,
3.3.2.3,Disposer d'une liste d’actions à décliner dans chaque service formé,,,,,,25,,,,,,,,,,,,
3.3.2.4,Formaliser dans un document une vision et un plan d'actions de la collectivité sur la consommation responsable et la sobriété,,,,,,25,,,,,,,,,,,,
3.3.3,Agir pour la consommation responsable et la sobriété dans le cadre de ses compétences,"La collectivité met en place des actions de consommation responsable et de sobriété sur ses compétences (écoles, garderies, services de nettoyage, espaces verts, gestion des déchets …)",,"Compétences « Energie, environnement, déchets » :

-   Soutenir les actions en faveur de la non-consommation de produits contenant des plastiques
    
-   Promouvoir le respect du refus de la publicité non adressée (oui pub, stop pub…)
    

Compétences « Enseignement, formation, emploi » :

-   Soutenir les écoles dans la réalisation d'évènements « zéro déchet » (rentrée scolaire sans déchet….)
    
-   Promouvoir des parcours de transition écologique des emplois au sein du PLIE
    

Compétence « Aménagement du territoire » :

-   Arrêter un projet de PLUI qui favorise les pratiques de sobriété (par ex. en rapprochant les zones d’emplois des zones résidentielles, en facilitant la réutilisation des friches industrielles et artisanales, en densifiant les centres-bourgs d’une manière concertée….)
    
-   Orienter le Programme Local de l’Habitat (PLH) vers des pratiques sobres (par exemple : création de greniers et de zones de gratuité dans les habitats collectifs).
    

Compétence « Développement économique » :

-   Créer des zones d’activités dédiées à l’ECi (avec, par ex., des espaces communs pour le don, l’échange et la revente de produits ou substances de seconde main ; ressourceries d’entreprises…)
    
-   Faciliter l’accès au foncier pour des entreprises s’inscrivant dans l’ECi
    

\-Etc.

Dimensionner les projets structurants de la collectivité, tels que les aménagements ou les infrastructures, en rapport aux besoins du territoire.",,,25,mise en œuvre,,,,,,,,,,,
3.3.3.1,Réaliser des actions à destination d'établissements scolaires,,,,,,20,,,,,,,,,,,,
3.3.3.2,Réaliser des actions sur au moins 1 autre compétence de la collectivité,,,,,,20,,,,,,,,,,,,
3.3.3.3,Réaliser des actions sur au moins 3 compétences de la collectivité,,,,,,30,,,,,,,,,,,,
3.3.3.4,Réaliser des actions de façon transversale qui concernent toutes les compétences de la collectivité,,,,,,30,,,,,,,,,,,,
3.3.4,Accompagner les acteurs externes sur des actions de consommation responsable et de sobriété,La collectivité agit pour accompagner les acteurs de son territoire vers des pratiques de consommation responsable et de sobriété. Elle aide au changement de comportement et favorise le développement d’une offre plus sobre.,,"Les cibles clés du territoire peuvent être le grand public, les autres collectivités, les entreprises, les associations et des organisations importantes. La collectivité peut définir les cibles clés de façon plus précise : grand public de certaines catégories socio-professionnelles, entreprises de tailles ou de secteurs d'activités particuliers, collectivités à compétence spécifique etc.

Aider le changement de comportement (tous types de collectivités) :

-   Organiser un atelier pour apprendre à revisiter ses propres besoins.
    
-   Identifier et valoriser des ambassadeurs de la sobriété : citoyens, associations, entreprises (ils pourraient mettre en avant les solutions de réparation, don, vente d’occasion, achats de produits avec labels…) [Exemple de « VoisinMalin ».](https://www.voisin-malin.fr/)
    
    [](https://www.voisin-malin.fr/)
[-   Outiller les groupes d’influence pour faire faire.
    
-   Limiter les subventions aux associations promouvant des activités non sobres
    
-   Promouvoir l'usage de l'Ecolabel européen et des labels environnementaux ""100 labels environnementaux recommandés par l’ADEME""
    ](https://www.voisin-malin.fr/)

[

https://agirpourlatransition.ademe.fr/particuliers/labels-environnementaux.

](https://www.voisin-malin.fr/)

[](https://www.voisin-malin.fr/)-   [Opération](https://www.voisin-malin.fr/) [""Osez changer"" : foyers témoins vers une consommation plus sobre](https://librairie.ademe.fr/consommer-autrement/5284-osez-changer-mieux-consommer-vivre-plus-leger.html#/44-type_de_produit-format_electronique)
[](https://librairie.ademe.fr/consommer-autrement/5284-osez-changer-mieux-consommer-vivre-plus-leger.html#/44-type_de_produit-format_electronique)

[

Aider le changement de comportement du grand public et des associations en développant des actions de sensibilisation auprès des habitants et/ou en offrant au public des informations relatives à la consommation :

](https://librairie.ademe.fr/consommer-autrement/5284-osez-changer-mieux-consommer-vivre-plus-leger.html#/44-type_de_produit-format_electronique)

[](https://librairie.ademe.fr/consommer-autrement/5284-osez-changer-mieux-consommer-vivre-plus-leger.html#/44-type_de_produit-format_electronique)-   [](https://librairie.ademe.fr/consommer-autrement/5284-osez-changer-mieux-consommer-vivre-plus-leger.html#/44-type_de_produit-format_electronique)
    
    [Accompagner des groupes d’habitants : Défis Familles « consommation sobre » (type](https://librairie.ademe.fr/consommer-autrement/5284-osez-changer-mieux-consommer-vivre-plus-leger.html#/44-type_de_produit-format_electronique) [Déclics)](https://defis-declics.org/fr/)
    
    [](https://defis-declics.org/fr/)
[-   Atelier réparation, cuisine (zéro gaspillage), partage de recettes avec des produits locaux
    
-   Créer des partenariats avec les services de protection maternelle et infantile (PMI) sur les alternatives à la consommation pour jeunes parents (lingettes, matériel inutile…)
    
-   Accompagner des structures (CCAS, Centre socio-culturel) qui accueillent du public à parler des enjeux de sobriété (puis à entrer en action)
    
-   Créer une culture technique au sein de la population
    ](https://defis-declics.org/fr/)-   [](https://defis-declics.org/fr/)
    
    [Mettre en place une monnaie sociale locale récompensant les pratiques de sobriété pour favoriser le lien producteur consommateur :](https://defis-declics.org/fr/) [Exemple de la mise en place d'Héol à Brest](https://librairie.ademe.fr/developpement-durable/1512-mise-en-place-de-la-monnaie-locale-heol-a-brest-29.html)
    
    [](https://librairie.ademe.fr/developpement-durable/1512-mise-en-place-de-la-monnaie-locale-heol-a-brest-29.html)
[-   -   Promouvoir l'usage de l'Ecolabel européen et des labels environnementaux ""100 labels environnementaux recommandés par l’ADEME""](https://librairie.ademe.fr/developpement-durable/1512-mise-en-place-de-la-monnaie-locale-heol-a-brest-29.html)

[

https://agirpourlatransition.ademe.fr/particuliers/labels-environnementaux.

Favoriser le développement d’une offre favrorisant les pratiques de sobriété (collectivités à compétence développement économique) :

-   Missionner des chargés de mission pour accompagner les commerces / écoles / crèches : audits et conseils pour créer du lien entre les « offreurs » de biens et les citoyens
    
-   Intégrer les démarches de l'écolabelisation des produits ou de services comme levier de différentiation des
    

entreprises (à travers l'action propre de la collectivité ou l'écosystème d'accompagnement au développement économique)

-   Favoriser l'installation des entreprises proposant une offre favorisant les pratiques de sobriété (ex. couches lavables, commerces en vrac, mobilité alternative à la possetion d'une voiture individuelle, etc.)

](https://librairie.ademe.fr/developpement-durable/1512-mise-en-place-de-la-monnaie-locale-heol-a-brest-29.html)",,,25,mise en œuvre,,,,,,,,,,,
3.3.4.1,Mettre en place au moins une action,,,,,,20,,,,,,,,,,,,
3.3.4.2,Mettre en place un ensemble d’actions vers une cible,,,,,,40,,,,,,,,,,,,
3.3.4.3,Mettre en place un ensemble d’actions vers l'ensemble des cibles clés du territoire,,,,,,40,,,,,,,,,,,,
3.4,Soutenir et accompagner l'écoconception des produits et des services du territoire,"L'écoconception vise, dès la conception d'un procédé, d'un bien ou d'un service, à prendre en compte l'ensemble du cycle de vie en minimisant les impacts environnementaux.","**Définitions :**

[Définition de l’éco-conception (ADEME)](https://agirpourlatransition.ademe.fr/entreprises/ecoconception) [Articulation éco-conception et économie circulaire (pôle éco-conception)](https://www.eco-conception.fr/static/economie-circulaire.html)

**Contexte réglementaire**

[Directive 2009/125/CE du Parlement européen pour la fixation d’exigences en matière d’éco-conception applicables aux produits liés à l’énergie](https://eur-lex.europa.eu/legal-content/FR/ALL/?uri=CELEX:32009L0125)

**Intégration d’exigences d’éco-conception dans les filières REP**

[Liste des filières REP](https://filieres-rep.ademe.fr/principe) [Rapport du Sénat sur l’éco-conception dans les filières REP (2013)](https://www.senat.fr/rap/r13-143/r13-1431.pdf)","**Retours nationaux et internationaux**

[Retours d’expérience du pôle éco-conception](https://www.eco-conception.fr/static/exemple-de-produit-eco-concu.html)

**Réseaux locaux**

[Réseau d’Economie circulaire et d’innovation de Nouvelle-Aquitaine (Recita)](https://www.recita.org/articles/h/colloque-regional-eco-conception.html)

**Outils d’éco-conception et REP**

[Eco-conception dans les emballages : CITEO](https://www.citeo.com/eco-concevoir/) [Eco-conception et textile](https://refashion.fr/eco-design/fr) [Eco-conception et mobilier](https://www.eco-conception.fr/static/eco-conception-mobilier.html) [Eco-conception et papiers](https://www.ecofolio.fr/sites/default/files/asset/document/eco-conception_appliquee_aux_papiers.pdf)

**Retours du réseau A3P**

_Produits / services éco-conçus (opérations collectives)_ [RISPETTU, hôtellerie durable en Corse](http://www.optigede.ademe.fr/fiche/rispettu-hotellerie-durable-corse) [Mise en place d’une filière de sacs de courses réutilisables](https://www.optigede.ademe.fr/fiche/mise-en-place-dune-filiere-de-production-de-sacs-de-courses-reutilisables) [Hope and Bike : transformer un vélo en vélo à assistance électrique dans un Fab lab](https://www.optigede.ademe.fr/fiche/hope-bike-transformer-un-velo-en-vae-dans-un-fablab) _Installations ICPE éco-conçues_ [Le SMICVAL Market, un exemple d’installation « éco-conçue »](https://www.optigede.ademe.fr/fiche/favoriser-le-reemploi-de-la-quasi-totalite-des-flux-grace-un-equipement-reflechi-autour-du)

**Mise en place d’une organisation**

[CyclaB : le laboratoire d'innovation en économie circulaire du Cyclad](https://www.optigede.ademe.fr/fiche/cyclab-le-laboratoire-dinnovation-en-economie-circulaire-de-cyclad) [Lancement d’un programme d’accompagnement des entreprises du Thouarsais dans des démarches Energie-Déchets](https://www.optigede.ademe.fr/fiche/lancement-dun-programme-daccompagnement-des-entreprises-du-thouarsais-dans-des-demarches)","**Argumentaire**

[Analyse des bénéfices économiques de l'écoconception pour les entreprises](https://librairie.ademe.fr/dechets-economie-circulaire/6021-analyse-des-benefices-economiques-de-l-ecoconception-pour-les-entreprises.html) (ADEME) [Pôle éco-conception](https://www.eco-conception.fr/)

**Guides pratiques**

[Guide éco-socio-conception (Orée)](http://ecoconception.oree.org/guides.html)

**Accompagnement des entreprises**

[Diagnostic d’éco-conception](https://diag.bpifrance.fr/diag-eco-conception) [Programme d’accompagnement à l'éco-conception de la CCI Paris Ile de France](http://www.cci-paris-idf.fr/informations-territoriales/ile-de-france/accompagnement-eco-conception-performance-environnementale-xp01-xp02-cci78) [Développer l'éco-conception](https://www.optigede.ademe.fr/eco-conception) [Prix entreprise et environnement: vise à encourager et promouvoir l'éco conception de services et produits](https://www.ecologie.gouv.fr/prix-entreprises-et-environnement) [Réussir votre projet d'écoconception](https://agirpourlatransition.ademe.fr/entreprises/ecoconception/reussir-mon-projet) [Soutiens et aides à l'écoconception ADEME 2023](https://agirpourlatransition.ademe.fr/entreprises/ecoconception/reussir-mon-projet)

**Ecolabel européen**

[Contexte de l'Écolabel](https://librairie.ademe.fr/produire-autrement/2168-ecolabel-europeen-l-.html) [Catégories de produits couvertes par l'Écolabel](https://ec.europa.eu/environment/ecolabel/products-groups-and-criteria.html)

**Formations**

[Le pôle éco-conception et ses formations](https://www.eco-conception.fr/static/les-formations.html) [CD2E: Centre de développement des éco-entreprises](http://www.cd2e.com/?q=nos-services/nos-formations) [Se former à l’éco-conception en Région (guide de l’APEDEC, 2010)](https://inforizon.blogs.com/files/etude-apedec-formations-eco-conception-v-16-02-10.pdf)",25,,,,,"reponse(dev_eco_1, NON) 
","Pour les collectivités n'ayant pas la compétence ""développement économique"", le score de l'action 3.4. est réduit à 0 et les statuts sont ""non concerné"".

Pour les collectivités ne possédant pas d'établissements de formation initiale et continue sur leur territoire, le score de la sous-action 3.4.2 est réduit à 0 et le statut est ""non concerné"".",,,,,dev_eco_1,eci_17,
3.4.1,Animer le réseau,"La collectivité anime (elle-même ou en partenariat avec la Région, les chambres consulaires, les associations environnementales, …) ou participe à l'animation d'un réseau d'entreprises, afin d'impulser une dynamique d'engagement de celles-ci dans les démarches d'éco-conception.",,"Se rapprocher des éco-organismes pour favoriser leur mise en relation avec les entreprises de son territoire.

Organiser des évènements : colloques, groupes de travail ou formations.

Créer un référent éco-conception pour accompagner les acteurs du territoire.",,,30,bases,,,,,,,,,,,
3.4.1.1,Organiser au moins un évènement par an avec les entreprises du territoire,,,,,,5,,,,,,,,,,,,
3.4.1.2,Organiser au moins 2 évènements par an avec les entreprises du territoire,,,,,,15,,,,,,,,,,,,
3.4.1.3,Organiser au moins 3 évènements par an avec les entreprises du territoire,,,,,,30,,,,,,,,,,,,
3.4.1.4,Organiser au moins 4 évènements par an avec les entreprises du territoire,,,,,,50,,,,,,,,,,,,
3.4.2,Encourager la collaboration entreprises-établissements de formation,"Si des établissements de formation (initiale ou continue) sont présents sur son territoire, la collectivité encourage des collaborations entre les entreprises et ces établissements pour développer de nouvelles solutions d'éco-conception et une montée en compétences sur le sujet. Elle s'appuie en particulier sur la Région (qui a la compétence formation / éducation supérieure).",,"La collectivité structure et propose des modèles de partenariats entre les entreprises et les organismes de formation. Elle valorise ces partenariats.

Organiser des rencontres ciblées ""Organismes de formation / entreprises"" .

Mettre en place des actions durant les forums de l’emploi, les salons étudiants ou les événements de même type (exemple : « Made in Angers »).

Créer un référent éco-conception pour accompagner les acteurs du territoire.",,,25,bases,,,"reponse(formation, NON) 
",,,,,,formation,,
3.4.2.1,Etablir la liste des établissements du territoire qui dispensent une formation en écoconception,,,,,,20,,,,,,,,,,,,
3.4.2.2,Disposer au moins d'un partenariat avec un organisme/entreprise conclu sous l’égide de la collectivité abordant le développement de l'écoconception,,,,,,80,,,,,,,,,,,,
3.4.3,Accompagner les entreprises,"La collectivité accompagne, seule ou en partenariat, les entreprises à la mise en place de démarches d'éco-conception s'appuyant ou non sur un éco-label (des labels environnementaux ""100 labels environnementaux recommandés par l’ADEME"": https://agirpourlatransition.ademe.fr/particuliers/labels-environnementaux).

Elle cible ses actions d'accompagnement en matière d'éco-conception, notamment sur les filières à enjeux sur son territoire.",,"Etablir des partenariats avec les chambres consulaires, les universités, les agences régionales de l'innovation, les agences de développement économique, les pôles de compétitivité, les clusters, etc...

S'impliquer dans le montage d’opérations collectives ou groupées d’éco-conception

Organiser des journées de Retour d'expérience, de formations, etc...

Mettre en avant les réalisations des entreprises de son territoire en termes d’éco-conception (vitrines d'innovation, jumelages, axes de développement économique…).

Disposer d'une personne référente éco-conception pour accompagner les acteurs du territoire.

Promouvoir les écolabels comme élément de stratégie ""produit"" des entreprises (via l'action propre ou l'écosystème

d'accompagnement au développement économique) : Ecolabel européen ou d'autres labels environnementaux ""100 labels environnementaux recommandés par l’ADEME""

https://librairie.ademe.fr/consommer-autrement/1790-vos-achats-responsables-avec-l-ecolabel-europeen-simplicite-et-fiabilite-9791029709463.html

https://agirpourlatransition.ademe.fr/particuliers/labels-environnementaux.

Exemple : en France, le tourisme est un secteur clé qui permet, via les hébergements touristiques, de mobiliser les acteurs économiques des territoires sur l'économie de la ressource, la sensibilisation des consommateurs et de développer des synergies.",,,30,mise en œuvre,,,,,,,,,,,
3.4.3.1,Accompagner les entreprises au travers d'opérations collectives,,,,,,50,,,,,,,,,,,,
3.4.3.2,Accompagner les entreprises au travers d'un accompagnement individuel,,,,,,50,,,,,,,,,,,,
3.4.4,Ecoconcevoir les projets à impacts,"La collectivité encourage ou met en œuvre la prise en compte de l'ensemble du cycle de vie dès la conception du projet.

L'enjeu est de généraliser la pensée cycle de vie pour les projets structurants implantés sur le territoire, notamment via l'éco-conception des bâtiments, des infrastractures, des ICPE, etc.",,"Intégrer la méthode de l'empreinte environnementale dans la conception des projets et la prise de décisions: https://www.ademe.fr/expertises/produire-autrement/production-industrielle-services/passer-a-laction/dossier/levaluation-environnementale-lindustrie-services/outils-methodes

Exemple : éco-conception des data centers.

Mettre en place un référent éco-conception pour accompagner les acteurs du territoire.",,,15,mise en œuvre,,,,,,,,,,,
3.4.4.1,Disposer d'une méthodologie d'écoconception des projets à impact,,,,,,50,,,,,,,,,,,,
3.4.4.2,Mettre en œuvre la pensée cycle de vie sur les projets structurants,,,,,,50,,,,,,,,,,,,
3.5,Soutenir et accompagner les projets d'Ecologie Industrielle et Territoriale (EIT),"L'EIT s'appuie sur l'étude des flux pour identifier et développer des synergies entre acteurs économiques d’un territoire : substituer des flux de matières, d'énergies et d'eau, initier la mutualisation de moyens et de services, le partage d'infrastructures.

L’EIT, par ses démarches collectives et volontaires menées sur un territoire en vue d’en optimiser les ressources, réconcilie ainsi développement économique et meilleur usage des ressources, en privilégiant l’ancrage des activités et de l’emploi dans les territoires.

Une collectivité qui soutient et accompagne ce type de projet intervient à différents stades :

-   impulsion : mettre en réseau et sensibiliser les acteurs
    
-   opération : accompagner
    
-   financement",[L'EIT: description du MTES](https://www.ecologie.gouv.fr/lecologie-industrielle-et-territoriale) [L'EIT: qu'est-ce que c'est?](https://www.youtube.com/watch?v=_HIc-fiLD8Q) [L'écologie industrielle et territoriale (Optigede)](https://www.optigede.ademe.fr/ecologie-industrielle-territoriale-enjeux),"**Retours d’expériences tirés d’études ou de sites**

[Référentiel ELIPSE](http://www.referentiel-elipse-eit.org/) [Programme national de synergies interentreprises](https://librairie.ademe.fr/dechets-economie-circulaire/1747-programme-national-de-synergies-interentreprises.html#:~:text=En%20savoir%20plus-,Le%20Programme%20National%20de%20Synergies%20Interentreprises%20\(PNSI\)%20est%20un%20programme,une%20dur%C3%A9e%20de%20deux%20ans) [Démarche d'EIT intégrée à la construction du parc d'activités des portes du Tarn](https://www.economiecirculaire.org/community/pg/file/2486/read/9038/dmarche-dcologie-industrielle-intgre-la-construction-du-parc-dactivits-des-portes-du-tarn) [Matières Energies Rochelaises (Vidéo)](https://www.larochelle.port.fr/nous-connaitre/developpement-durable/l-ancrage-territorial/) [Economie circulaire et écosystèmes portuaires (recueil de retours d'expériences)](https://librairie.ademe.fr/dechets-economie-circulaire/2499-economie-circulaire-et-ecosystemes-portuaires.html)

**Retour d’expériences de réseaux**

[Le réseau Biotop (Charente)](http://reseau-biotop.com/1/presentation/) [Recueil des démarches EIT en Pays de la Loire](https://www.economiecirculaire.org/library/h/recueil-des-demarches-eit-en-pays-de-la-loire.html) [Etat des lieux de l'écologie industrielle et territoriale en France](https://librairie.ademe.fr/dechets-economie-circulaire/25-etat-des-lieux-de-l-ecologie-industrielle-et-territoriale-en-france-9791029716522.html)

**Retour d’expérience du réseau A3P**

[L'écologie industrielle et territoriale : synthèse thématique du réseau A3P](https://www.optigede.ademe.fr/fiche/ecologie-industrielle-en-zone-portuaire) [Démarche](https://www.optigede.ademe.fr/fiche/ecologie-industrielle-en-zone-portuaire)

[d’EIT à l’échelle d’une zone d’activités (Grand Port Maritime de Saint-Nazaire)](https://www.optigede.ademe.fr/fiche/ecologie-industrielle-en-zone-portuaire)

[EIT : de l'initiative à l'accompagnement d'une démarche (Syndicat Mixte Thann Cernay)](https://www.optigede.ademe.fr/fiche/ecologie-industrielle-territoriale-de-linitiative-laccompagnement-dune-demarche) [Atelier](https://optigede.ademe.fr/fiche/atelier-didentification-de-synergies-inter-entreprises)

[d'identification de synergies inter-entreprises (SICTOM Sud Gironde)](https://optigede.ademe.fr/fiche/atelier-didentification-de-synergies-inter-entreprises)

[Mutualisation entre acteurs économiques - Initier une démarche d'EIT en entrant par la gestion des décchets des entreprises (SIEEEN)](https://www.optigede.ademe.fr/fiche/mutualisations-entre-acteurs-economiques-initier-une-demarche-decologie-industrielle-et) [Favoriser les synergies entre paysagistes et agriculteurs (SIRTOM de la Vallée de la Grosne)](https://optigede.ademe.fr/fiche/favoriser-les-synergies-entre-paysagistes-et-agriculteurs)","**Réseaux**

[Réseau Synapse: réseau national des acteurs de l'EIT](https://www.economiecirculaire.org/eit/h/le-reseau-synapse.html#page1:local) [Les réseaux régionaux en France (Fiche ZOOM)](https://www.economiecirculaire.org/library/h/fiche-zoom-n-1-les-reseaux-regionaux-francais-d-eit.html)

**Argumentaire et méthodes générales**

[Fiches pratiques sur l’EIT Orée](https://www.economiecirculaire.org/library/h/fiches-pratiques-sur-l-ecologie-industrielle-et-territoriale-a-destination-des-collectivites.html) [Écologie industrielle et territoriale : le guide pour agir dans les territoires (CGDD, 2014)](https://www.ecologique-solidaire.gouv.fr/sites/default/files/EIT%20-%20le%20guide%20pour%20agir%20dans%20les%20territoires.pdf) [Coopérer avec les entreprises de mon territoire](https://www.optigede.ademe.fr/mode-d-emploi-dechets-entreprises-collectivites)

**Guides**

[Guide Orée Mettre en œuvre une démarche d’EIT sur un parc d’activités](http://www.oree.org/docs/groupes-de-travail/gt-parcs-d-activites/brochure-presentation-guide.pdf) [EIT: le guide pour agir dans les territoires](https://www.economiecirculaire.org/library/h/ecologie-industrielle-et-territoriale-le-guide-pour-agir-dans-les-territoires.html)

**Outils**

[ACTIF: la plate-forme qui favorise les échanges inter-entreprises](http://www.actif.cci.fr/) [Comptabilité des flux de matières dans les régions et les départements – Guide méthodologique (2014, CGDD)](https://www.ecologique-solidaire.gouv.fr/sites/default/files/EIT%20-%20comptabilite%20des%20flux%20de%20matieres.pdf) [Pérennité des démarches d'EIT en France: Synthèse](https://www.economiecirculaire.org/library/h/perennite-des-demarches-d-eit-en-france.html) [Référentiel ELIPSE: évaluation des performances des démarches d'EIT](http://www.referentiel-elipse-eit.org/)

**Formations**

[Rencontre thématique réseau A3P : Maîtriser les fondamentaux de l'Ecologie Industrielle et Territoriale](https://formations.ademe.fr/formations_economie-circulaire_rencontre-thematique-reseau-a3p-:-maitriser-les-fondamentaux-de-l-ecologie-industrielle-et-territoriale_s5093.html)",25,,,,,,,,,,,,"eci_19, eci_18",
3.5.1,Elaborer la stratégie et structurer en interne,"Conjointement avec les services Développement économique et Environnement (déchets, économie circulaire, climat, énergie, etc.), la collectivité élabore un document formalisant sa stratégie EIT (politique, feuille de route, etc.).

Ce document doit notamment comporter les éléments suivants :

-   Des objectifs chiffrés (exemples : nombre de projets EIT dans lesquels elle va s'impliquer, nombre d'entreprises mobilisées, impacts attendus : environnementaux, économiques, sociaux, emplois).
    
-   Le niveau d’implication de la collectivité :
    
-   soit elle anime elle-même la démarche d'EIT dans sa phase de structuration via un(e) chargé(e) de mission dédié(e) (recruté(e) ou interne formé(e))
    
-   soit elle contribue au déploiement de la démarche d'EIT de son territoire en tant que partenaire-facilitateur-financeur (relais pour mobiliser les entreprises, participation au comité de pilotage et à la gouvernance, financements éventuels d'études ou de postes, ...)
    
-   La façon dont les services concernés doivent se structurer et s’organiser pour intégrer les principes de l'EIT dans leurs projets (aménagement, urbanisme et tous autres services dont l’implication est jugée pertinente).",,"-   Organiser un séminaire interne rassemblant des élus, directeurs et technicien) sur la définition d’une stratégie EIT.
    
-   Fixer les orientations et objectifs relatifs à l'EIT en cohérence avec ses différents plans et schémas territoriaux (CODEC, PLPGD, PCAET, PLU, AEU, SCOT, …) actuellement en vigueur.
    

Des objectifs de déploiement de l'EIT devront également être intégrées à ces documents lors de leur réédition.",,,20,bases,,,,,,,,,,,
3.5.2,Mettre en réseau les acteurs et mettre en place une gouvernance,"La collectivité contribue à la mobilisation autour de l'EIT par une mise en réseau des acteurs pertinents (chambres consulaires, agences de développement économique, syndicats déchets, associations d'entreprises et de zones d'activités, DREAL/DIRECCTE, université/laboratoire de recherche, etc.). Elle réalise notamment des actions de communication et de sensibilisation sur l'EIT et organise des rencontres entre les acteurs.

La collectivité contribue à la mise en place d’une gouvernance territoriale de la démarche d'EIT avec l'ensemble de ses acteurs.

Elle participe et contribue au réseau régional d’EIT quand il existe.",,"-   Réalisation d'actions de communication et de sensibilisation.
    
-   Organisation et participation à une réunion/atelier inter-entreprises avec les acteurs.
    
-   Participation à la structuration d’une gouvernance territoriale.
    
-   Participation à une ou plusieurs réunions d’échanges au sein du réseau régional s'il existe.",,,20,mise en œuvre,,,,,,,,,,,
3.5.2.1,Réaliser au moins une action,,,,,,25,,,,,,,,,,,,
3.5.2.2,Réaliser au moins 2 actions,,,,,,25,,,,,,,,,,,,
